,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
0,8,Geoff Blum,2000,20045,1211,3935,3554,889,428.0,39.0,394,87,1360,293,265.0,28.0,31,0,0,66,207,643,148,61,0,5,66,5,18,19.0,blumge01,8,3.1000000000000005
1,15,Morgan Ensberg,2000,16035,731,2580,2204,579,347.0,15.0,340,110,1031,332,314.0,18.0,21,0,0,8,0,639,1,0,0,0,0,2,22,19.0,ensbemo01,15,13.799999999999997
2,61,Vinny Castilla,1990,17955,956,3805,3516,1049,611.0,33.0,518,203,1858,223,185.0,38.0,27,0,0,2,14,786,144,0,0,0,0,0,22,32.0,castivi02,61,14.6
3,61,Vinny Castilla,2000,14021,898,3579,3306,835,494.0,38.0,384,117,1391,200,174.0,26.0,33,0,0,7,0,870,3,0,0,0,0,0,11,11.0,castivi02,61,4.7
4,65,Mark DeRosa,2000,20045,1020,3545,3154,868,430.0,31.0,482,92,1340,299,283.0,16.0,47,0,0,23,304,311,133,59,0,160,219,13,21,15.0,derosma01,65,11.4
5,79,Wes Helms,2000,20045,1009,2603,2334,613,327.0,36.0,243,70,976,183,171.0,12.0,39,0,0,300,0,499,0,8,0,4,12,4,3,10.0,helmswe01,79,-0.10000000000000017
6,85,Chipper Jones,1990,11978,779,3386,2890,871,524.0,31.0,542,153,1530,459,431.0,28.0,3,0,0,0,0,707,42,18,0,9,27,0,83,19.0,jonesch06,85,27.0
7,85,Chipper Jones,2000,20045,1387,5887,4935,1535,921.0,54.0,916,273,2700,884,757.0,127.0,14,0,0,0,0,977,7,338,0,0,338,23,59,25.0,jonesch06,85,50.7
8,85,Chipper Jones,2010,6033,333,1341,1159,320,178.0,12.0,161,42,525,169,147.0,22.0,1,0,0,0,0,308,0,0,0,0,0,5,8,2.0,jonesch06,85,7.7
9,133,Bill Hall,2000,16044,865,3079,2796,701,379.0,24.0,380,104,1234,236,224.0,12.0,10,0,0,0,104,266,261,22,138,15,175,0,50,37.0,hallbi03,133,9.3
10,136,Lenny Harris,1990,19945,1178,2934,2681,742,245.0,17.0,325,24,958,186,167.0,19.0,12,1,0,55,244,350,34,98,3,139,240,3,92,39.0,harrile01,136,3.1000000000000014
11,207,Scott Rolen,1990,7990,465,2011,1713,479,297.0,21.0,297,82,856,249,237.0,12.0,28,0,0,0,0,463,0,0,0,0,0,0,42,17.0,rolensc01,207,15.600000000000001
12,207,Scott Rolen,2000,20045,1283,5371,4668,1331,832.0,58.0,791,201,2321,560,518.0,42.0,84,0,0,0,0,1280,0,0,0,0,0,0,72,29.0,rolensc01,207,48.39999999999999
13,207,Scott Rolen,2010,6033,290,1136,1017,267,158.0,14.0,123,33,451,90,87.0,3.0,15,0,0,0,0,280,0,0,0,0,0,0,4,3.0,rolensc01,207,6.299999999999999
14,272,Chris Stynes,2000,10010,525,1707,1541,423,188.0,9.0,235,37,641,130,124.0,6.0,14,0,0,0,83,353,0,9,0,2,11,0,13,9.0,stynech01,272,5.7
15,331,Matt Williams,1990,19945,1340,5621,5179,1438,960.0,46.0,774,300,2633,352,277.0,75.0,42,0,0,13,0,1316,5,0,0,0,0,0,43,26.0,willima04,331,41.3
16,331,Matt Williams,2000,8006,306,1227,1128,303,168.0,12.0,147,44,507,79,73.0,6.0,8,0,0,0,0,294,2,0,0,0,0,1,5,3.0,willima04,331,1.7000000000000002
17,340,Adrian Beltre,2000,20045,1452,6049,5552,1510,817.0,42.0,726,228,2548,403,360.0,43.0,44,0,0,0,1,1438,5,0,0,0,0,10,90,30.0,beltrad01,340,40.699999999999996
18,340,Adrian Beltre,2010,18126,1252,5253,4783,1466,801.0,56.0,696,227,2459,370,313.0,57.0,44,0,0,0,0,1095,0,0,0,0,0,146,10,4.0,beltrad01,340,51.0
19,358,Dave Hansen,1990,17947,684,1268,1096,291,121.0,7.0,108,17,396,158,146.0,12.0,5,0,0,32,1,297,1,0,0,2,2,2,2,5.0,hanseda01,358,2.2
20,412,Jose Macias,2000,12015,654,1785,1642,421,171.0,12.0,199,25,607,93,92.0,1.0,10,0,0,0,120,211,5,57,110,36,203,4,43,21.0,maciajo01,412,1.8000000000000003
21,424,Fernando Tatis,1990,5994,359,1459,1292,364,194.0,7.0,202,53,608,132,125.0,7.0,22,0,0,0,0,356,3,0,0,0,0,0,37,14.0,tatisfe01,424,4.6
22,424,Fernando Tatis,2000,14029,549,1937,1694,431,248.0,17.0,219,58,718,183,174.0,9.0,37,0,0,52,8,316,2,80,0,42,122,12,13,7.0,tatisfe01,424,1.8
23,434,David Bell,2000,14021,945,3784,3367,865,422.0,35.0,413,88,1335,319,302.0,17.0,37,0,0,6,63,886,4,0,0,0,0,0,9,9.0,bellda01,434,14.200000000000001
24,443,Pedro Feliz,2000,20045,1165,4115,3845,976,558.0,33.0,451,135,1624,217,200.0,17.0,9,0,1,101,0,899,26,97,0,4,101,1,12,11.0,felizpe01,443,8.1
25,460,Bill Mueller,1990,7990,444,1795,1538,457,158.0,15.0,236,18,611,216,213.0,3.0,8,0,0,0,21,412,0,0,0,0,0,0,11,8.0,muellbi02,460,9.0
26,460,Bill Mueller,2000,14021,772,3091,2685,772,335.0,33.0,427,67,1182,327,313.0,14.0,27,0,0,0,32,716,1,0,0,0,0,3,9,10.0,muellbi02,460,14.8
27,511,Mike Lowell,2000,20045,1423,5895,5272,1485,879.0,76.0,715,206,2483,499,456.0,43.0,47,0,0,0,8,1380,0,0,0,0,0,16,30,14.0,lowelmi01,511,24.9
28,538,Edgardo Alfonzo,1990,9985,677,2718,2406,698,339.0,26.0,363,62,1032,250,244.0,6.0,12,0,0,0,256,381,34,0,0,0,0,0,31,12.0,alfoned01,538,16.6
29,538,Edgardo Alfonzo,2000,14021,829,3390,2979,834,405.0,29.0,414,84,1256,346,330.0,16.0,29,0,0,2,293,508,0,0,0,0,0,3,22,5.0,alfoned01,538,12.200000000000001
30,592,Ty Wigginton,2000,16044,906,3431,3125,846,425.0,23.0,394,121,1413,241,228.0,13.0,38,0,0,124,128,566,9,39,0,9,48,41,33,20.0,wiggity01,592,4.0
31,603,Sean Burroughs,2000,10020,440,1690,1537,431,134.0,5.0,179,11,551,115,102.0,13.0,26,1,0,0,13,395,1,0,0,0,0,0,19,6.0,burrose01,603,5.9
32,636,Phil Nevin,1990,9985,381,1289,1147,279,179.0,9.0,139,51,498,119,116.0,3.0,12,0,105,20,0,124,0,81,0,9,90,35,3,1.0,nevinph01,636,2.1999999999999997
33,636,Phil Nevin,2000,14021,836,3414,3041,852,564.0,24.0,445,157,1478,330,303.0,27.0,18,0,4,329,0,359,0,8,0,31,39,82,15,4.0,nevinph01,636,13.499999999999998
34,666,Dave Hollins,1990,19945,967,3886,3324,867,482.0,30.0,577,112,1403,463,435.0,28.0,65,0,0,91,0,778,1,0,0,3,3,31,47,26.0,hollida01,666,17.999999999999996
35,681,Tomas Perez,2000,16029,611,1491,1371,332,144.0,9.0,159,22,487,87,63.0,24.0,6,1,0,47,149,159,129,1,0,5,6,0,4,3.0,perezto03,681,-0.9000000000000001
36,684,Placido Polanco,2010,8046,462,1869,1703,471,144.0,21.0,183,14,586,115,112.0,3.0,21,0,0,0,13,430,0,0,0,0,0,1,10,0.0,polanpl01,684,5.5
37,732,Abraham Nunez,2000,18036,897,2391,2135,525,184.0,6.0,252,17,686,207,186.0,21.0,9,1,0,0,235,293,161,1,0,0,1,2,24,13.0,nunezab01,732,0.7999999999999999
38,734,Aramis Ramirez,2000,20045,1320,5486,4956,1434,915.0,57.0,707,258,2544,400,358.0,42.0,72,0,0,0,0,1290,0,0,0,0,0,7,15,13.0,ramirar01,734,25.2
39,734,Aramis Ramirez,2010,12075,784,3161,2873,800,471.0,28.0,366,122,1358,209,193.0,16.0,51,0,0,5,0,734,0,0,0,0,0,19,14,4.0,ramirar01,734,9.3
40,758,Aaron Boone,2000,18041,939,3551,3169,822,450.0,29.0,434,110,1348,256,239.0,17.0,67,0,0,104,21,750,23,0,0,0,0,2,83,23.0,booneaa01,758,11.300000000000002
41,759,Russell Branyan,2000,20045,870,2778,2389,560,390.0,24.0,343,163,1180,336,309.0,27.0,26,0,0,166,0,320,0,150,0,71,221,37,13,4.0,branyru01,759,9.799999999999999
42,844,Greg Norton,2000,18040,841,1860,1618,404,248.0,10.0,206,62,679,222,210.0,12.0,7,0,0,103,0,145,0,61,0,43,104,105,8,10.0,nortogr01,844,-1.4000000000000001
43,858,Juan Uribe,2010,14091,718,2535,2325,583,302.0,17.0,242,72,923,169,152.0,17.0,20,0,0,4,50,516,108,0,0,0,0,4,10,4.0,uribeju01,858,10.4
44,862,Todd Zeile,1990,19945,1445,6004,5263,1409,797.0,61.0,715,182,2271,645,610.0,35.0,29,0,105,76,0,1249,0,3,0,0,3,1,47,46.0,zeileto01,862,15.9
45,876,Chone Figgins,2000,16044,936,4075,3585,1045,341.0,30.0,596,31,1392,412,407.0,5.0,6,0,0,0,113,540,27,36,244,27,307,19,280,96.0,figgich01,876,22.4
46,879,Troy Glaus,2000,20045,1207,5059,4282,1108,777.0,36.0,733,274,2187,705,668.0,37.0,36,0,0,6,0,1135,18,0,0,0,0,54,50,28.0,glaustr01,879,35.3
47,923,Eric Chavez,2000,20045,1156,4832,4271,1148,721.0,40.0,667,216,2079,508,446.0,62.0,13,0,0,1,0,1115,3,2,0,0,2,27,45,15.0,chaveer01,923,32.900000000000006
48,964,Miguel Tejada,2010,6034,300,1191,1114,293,117.0,8.0,114,22,406,48,39.0,9.0,15,0,0,1,30,163,100,0,0,0,0,5,7,4.0,tejadmi01,964,1.4
49,992,Eric Hinske,2000,16044,996,3521,3096,785,424.0,26.0,476,113,1355,373,352.0,21.0,26,0,0,176,0,456,0,72,0,136,208,93,61,20.0,hinsker01,992,8.9
50,1094,Travis Fryman,1990,19945,1327,5750,5176,1418,823.0,65.0,726,187,2323,459,444.0,15.0,35,0,0,0,0,996,338,0,0,0,0,4,70,35.0,frymatr01,1094,30.8
51,1094,Travis Fryman,2000,6003,371,1467,1305,358,199.0,13.0,169,36,547,143,139.0,4.0,6,0,0,1,0,363,1,0,0,0,0,2,2,3.0,frymatr01,1094,3.4
52,1127,Jim Thome,1990,17955,916,3782,3077,883,579.0,29.0,609,196,1684,646,596.0,50.0,29,0,0,373,0,492,0,0,0,0,0,42,16,11.0,thomeji01,1127,29.8
53,1147,Jeff Cirillo,1990,11979,789,3218,2811,864,372.0,22.0,444,66,1274,330,323.0,7.0,36,0,0,11,27,753,2,0,0,0,0,5,32,23.0,cirilje01,1147,23.2
54,1147,Jeff Cirillo,2000,16028,828,2918,2585,734,355.0,37.0,356,46,1045,233,222.0,11.0,31,1,0,46,21,650,3,1,0,0,1,24,31,14.0,cirilje01,1147,11.2
55,1192,Tony Batista,2000,14023,919,3601,3330,813,534.0,34.0,442,162,1483,198,175.0,23.0,35,0,0,27,0,770,20,0,0,0,0,47,33,20.0,batisto01,1192,6.1
56,1215,Jerry Hairston,2010,8046,413,1345,1209,304,129.0,11.0,132,21,429,101,96.0,5.0,15,0,0,14,108,112,66,68,20,12,100,1,13,10.0,hairsje02,1215,2.6999999999999997
57,1231,Melvin Mora,2000,20045,1335,5630,4948,1379,692.0,45.0,744,164,2164,483,468.0,15.0,109,0,0,1,25,811,193,142,147,21,310,14,89,52.0,morame01,1231,29.4
58,1251,Hank Blalock,2000,16044,910,3859,3504,943,535.0,27.0,499,152,1628,307,285.0,22.0,19,0,0,100,4,697,0,0,0,0,0,99,13,6.0,blaloha01,1251,13.600000000000001
59,1274,Mike Lamb,2000,18036,936,2948,2668,739,345.0,30.0,380,69,1113,224,193.0,31.0,17,0,3,255,10,446,0,26,0,7,33,40,7,10.0,lambmi01,1274,4.5
60,1285,Herbert Perry,2000,10010,400,1439,1304,355,190.0,9.0,187,46,579,95,92.0,3.0,25,0,0,48,0,299,0,1,0,0,1,40,10,5.0,perryhe01,1285,4.699999999999999
61,1292,Alex Rodriguez,2000,20045,1524,6768,5732,1740,1243.0,61.0,1190,435,3362,850,768.0,82.0,125,0,0,0,0,868,634,0,0,0,0,26,179,37.0,rodrial01,1292,77.80000000000001
62,1292,Alex Rodriguez,2010,12077,618,2596,2262,584,380.0,29.0,338,113,1034,278,267.0,11.0,27,0,0,2,0,326,0,0,0,0,0,269,32,7.0,rodrial01,1292,12.4
63,1298,Michael Young,2010,8046,619,2623,2417,713,310.0,28.0,318,48,1021,173,155.0,18.0,5,0,0,111,32,327,6,0,0,0,0,143,13,6.0,youngmi02,1298,1.5999999999999994
64,1301,Shane Andrews,1990,9985,496,1687,1499,330,224.0,18.0,169,72,624,163,147.0,16.0,4,0,0,48,0,440,0,0,0,0,0,1,6,9.0,andresh01,1301,2.1999999999999997
65,1327,Shea Hillenbrand,2000,14028,943,3816,3570,1014,490.0,36.0,463,108,1570,140,122.0,18.0,69,0,0,373,0,462,0,0,0,0,0,125,16,12.0,hillesh02,1327,6.1
66,1395,Joe Randa,1990,9985,564,2148,1938,562,246.0,19.0,248,39,829,164,154.0,10.0,17,0,0,8,57,508,0,0,0,0,0,4,30,18.0,randajo01,1395,8.899999999999999
67,1395,Joe Randa,2000,14021,958,3859,3490,981,493.0,48.0,449,84,1482,268,256.0,12.0,38,0,0,18,1,854,0,0,0,0,0,47,12,8.0,randajo01,1395,12.599999999999998
68,1420,Shane Halter,2000,10010,523,1744,1572,389,174.0,15.0,168,41,622,124,121.0,3.0,12,1,2,54,44,242,190,12,5,3,20,10,11,13.0,haltesh01,1420,5.999999999999999
69,1425,Brandon Inge,2000,18045,1153,4293,3823,901,494.0,34.0,449,123,1505,339,328.0,11.0,59,0,376,0,0,754,0,10,33,2,45,1,40,35.0,ingebr01,1425,17.8
70,1425,Brandon Inge,2010,8046,379,1324,1191,265,154.0,13.0,114,29,421,104,99.0,5.0,9,0,0,4,19,329,1,0,0,6,6,2,5,5.0,ingebr01,1425,1.5
71,1437,Eric Munson,2000,18037,361,1186,1056,226,147.0,12.0,97,49,416,104,98.0,6.0,12,0,81,34,0,187,0,1,0,0,1,29,4,2.0,munsoer01,1437,-1.5
72,1438,Dean Palmer,1990,17955,1109,4532,4045,1033,700.0,39.0,624,235,1958,399,380.0,19.0,45,0,0,0,0,1040,1,29,0,0,29,38,40,28.0,palmede01,1438,13.1
73,1440,Craig Paquette,1990,13972,474,1677,1582,376,232.0,15.0,188,65,658,65,61.0,4.0,5,0,0,30,7,330,19,74,0,27,101,7,19,9.0,paquecr01,1440,0.2
74,1440,Craig Paquette,2000,8006,340,1089,1009,244,145.0,11.0,116,34,407,55,53.0,2.0,7,0,0,70,17,168,0,57,0,48,105,5,8,4.0,paquecr01,1440,-1.9000000000000001
75,1463,Casey Blake,2000,20045,1042,4240,3750,999,525.0,41.0,550,145,1690,369,336.0,33.0,61,0,0,107,1,725,1,2,0,238,240,14,35,31.0,blakeca01,1463,21.299999999999997
76,1487,Corey Koskie,2000,14021,861,3527,3028,826,446.0,31.0,472,112,1390,416,375.0,41.0,51,0,0,0,0,819,0,0,0,0,0,24,67,32.0,koskico01,1487,22.4
77,1529,Joe Crede,2000,20045,888,3377,3101,787,470.0,31.0,392,140,1376,199,193.0,6.0,38,0,0,0,0,875,1,0,0,0,0,6,4,12.0,credejo01,1529,14.700000000000003
78,1580,Ron Coomer,1990,9985,536,1970,1853,520,282.0,19.0,219,61,807,96,88.0,8.0,2,0,0,213,0,273,0,0,0,35,35,32,11,7.0,coomero01,1580,2.5999999999999996
79,1615,Robin Ventura,1990,19945,1399,5923,5085,1413,854.0,59.0,741,203,2300,734,638.0,96.0,17,0,0,74,0,1364,1,0,0,0,0,1,16,27.0,venturo01,1615,46.1
80,1615,Robin Ventura,2000,10010,664,2290,1934,464,321.0,14.0,260,91,822,333,297.0,36.0,5,1,0,88,1,507,0,0,0,0,0,4,8,11.0,venturo01,1615,9.799999999999999
81,16761,Sean Berry,1990,19945,827,2637,2363,650,367.0,29.0,309,80,1061,202,183.0,19.0,32,0,0,67,0,619,0,0,0,0,0,4,47,23.0,berryse01,16761,5.5
82,16774,Mike Blowers,1990,19945,748,2544,2262,581,362.0,16.0,288,78,947,245,235.0,10.0,6,0,1,108,0,603,1,16,0,6,22,16,7,8.0,blowemi01,16774,4.7
83,16777,Wade Boggs,1980,15884,1183,5371,4534,1597,523.0,43.0,823,64,2175,754,667.0,87.0,17,0,0,50,0,1111,0,1,0,0,1,12,14,22.0,boggswa01,16777,60.1
84,16777,Wade Boggs,1990,19945,1257,5369,4646,1413,491.0,53.0,690,54,1889,658,565.0,93.0,6,2,0,17,0,1104,0,0,0,0,0,95,10,13.0,boggswa01,16777,31.299999999999997
85,16782,Bobby Bonilla,1980,7950,601,2390,2092,582,306.0,22.0,296,66,946,262,216.0,46.0,9,0,0,48,0,408,0,93,10,63,166,0,22,23.0,bonilbo01,16782,13.0
86,16794,Jeff Branson,1990,13965,663,1681,1517,373,156.0,17.0,167,34,568,121,96.0,25.0,4,0,0,7,198,255,153,0,0,0,0,1,9,5.0,bransje01,16794,2.220446049250313e-16
87,16806,Scott Brosius,1990,17955,891,3359,2991,770,418.0,34.0,430,112,1273,269,260.0,9.0,40,0,0,46,21,680,40,36,66,73,175,5,54,26.0,brosisc01,16806,13.899999999999999
88,16839,Ken Caminiti,1990,19945,1329,5515,4853,1352,795.0,56.0,730,195,2239,574,483.0,91.0,23,0,0,0,0,1303,0,0,0,0,0,0,81,37.0,caminke01,16839,28.799999999999997
89,16892,Darnell Coles,1980,13902,606,2271,2024,500,271.0,26.0,239,57,790,176,168.0,8.0,25,0,0,30,0,281,18,58,0,176,234,31,18,18.0,colesda01,16892,0.7
90,16899,Scott Cooper,1990,13952,592,2030,1801,478,211.0,16.0,197,33,695,193,173.0,20.0,11,0,0,72,1,467,2,0,0,0,0,7,7,10.0,coopesc01,16899,6.300000000000001
91,16945,Russ Davis,1990,11979,479,1795,1633,418,235.0,13.0,218,68,722,120,115.0,5.0,13,0,0,2,0,467,2,3,0,0,3,4,15,8.0,davisru01,16945,0.30000000000000016
92,17048,Gary Gaetti,1980,17865,1207,4834,4412,1144,673.0,51.0,585,185,1964,322,293.0,29.0,35,0,0,3,1,1160,11,13,0,0,13,13,68,43.0,gaettga01,17048,24.599999999999998
93,17048,Gary Gaetti,1990,19945,1295,4972,4529,1136,667.0,52.0,545,175,1917,312,284.0,28.0,61,3,0,135,1,1122,3,0,0,1,1,29,28,22.0,gaettga01,17048,17.900000000000002
94,17094,Willie Greene,1990,15964,550,1844,1603,386,270.0,11.0,220,76,695,224,210.0,14.0,4,0,0,9,0,310,16,26,0,72,98,52,13,6.0,greenwi01,17094,3.0
95,17098,Kelly Gruber,1980,11919,538,1755,1627,428,208.0,13.0,229,52,685,90,87.0,3.0,17,0,0,0,29,453,29,7,6,19,32,8,47,17.0,grubeke01,17098,9.9
96,17098,Kelly Gruber,1990,7966,401,1687,1532,390,235.0,22.0,202,65,680,107,97.0,10.0,19,0,0,0,0,393,0,1,0,6,7,4,33,16.0,grubeke01,17098,6.499999999999999
97,17136,Charlie Hayes,1990,19945,1301,4942,4527,1197,647.0,40.0,504,127,1825,345,321.0,24.0,20,0,0,73,6,1170,3,1,0,0,1,4,43,29.0,hayesch01,17136,10.4
98,17178,Jack Howell,1980,9935,542,1935,1711,413,218.0,8.0,224,68,730,190,167.0,23.0,11,0,0,0,13,423,0,87,1,19,107,2,9,13.0,howelja02,17178,7.199999999999999
99,17250,Jeff King,1990,19945,1126,4569,4047,1049,690.0,67.0,569,149,1735,422,396.0,26.0,18,0,0,442,114,573,10,0,0,1,1,19,71,30.0,kingje01,17250,16.2
100,17281,Scott Leius,1990,17948,557,1727,1536,375,172.0,12.0,214,28,542,161,157.0,4.0,5,0,0,20,7,445,63,0,2,0,2,11,16,15.0,leiussc01,17281,2.6000000000000014
101,17296,Scott Livingstone,1990,15956,673,1646,1533,431,177.0,19.0,163,17,566,89,84.0,5.0,0,0,0,75,5,319,0,0,0,1,1,42,10,12.0,livinsc01,17296,2.0999999999999996
102,17319,Dave Magadan,1990,19945,1062,3609,3001,866,359.0,39.0,381,31,1131,540,507.0,33.0,8,0,0,396,0,532,0,0,0,0,0,27,10,10.0,magadda01,17319,13.900000000000002
103,17401,Paul Molitor,1980,19845,1172,5330,4723,1421,474.0,37.0,828,104,2070,501,471.0,30.0,18,0,0,0,127,788,16,4,43,4,51,182,281,73.0,molitpa01,17401,38.400000000000006
104,17491,Terry Pendleton,1980,11919,806,3260,2986,785,384.0,29.0,358,38,1078,222,192.0,30.0,5,0,0,0,0,791,0,0,0,1,1,0,92,43.0,pendlte01,17491,15.100000000000001
105,17491,Terry Pendleton,1990,17946,1087,4377,4046,1112,562.0,38.0,493,102,1673,264,217.0,47.0,10,0,0,0,0,994,0,0,0,0,0,40,35,16.0,pendlte01,17491,13.4
106,17634,Craig Shipley,1990,15956,540,1360,1276,351,132.0,9.0,146,20,484,45,39.0,6.0,16,0,0,14,98,217,138,4,4,4,12,0,33,17.0,shiplcr01,17634,-0.10000000000000003
107,17670,Bill Spiers,1990,19945,1010,3059,2705,726,312.0,18.0,392,30,1006,284,268.0,16.0,16,0,0,21,138,378,330,27,11,16,54,4,80,37.0,spierbi01,17670,8.4
108,17673,Ed Sprague,1990,17955,1052,4182,3733,917,506.0,34.0,467,138,1557,322,304.0,18.0,87,0,17,37,0,971,0,0,0,0,0,24,6,12.0,spraged02,17673,5.300000000000001
109,17702,Tim Hulett,1980,11914,406,1367,1264,306,127.0,10.0,138,32,470,72,70.0,2.0,5,0,0,0,134,280,0,1,0,0,1,0,12,7.0,huletti01,17702,1.4000000000000001
110,17711,Rance Mulliniks,1980,19845,1018,3169,2772,778,360.0,22.0,357,64,1190,358,336.0,22.0,4,0,0,0,28,703,60,0,0,0,0,207,10,10.0,mullira01,17711,14.799999999999999
111,17716,Randy Ready,1980,13902,459,1581,1358,364,163.0,10.0,207,33,576,191,187.0,4.0,9,0,0,0,96,192,0,115,0,4,119,8,19,9.0,readyra01,17716,8.9
112,17721,Chris Sabo,1990,13951,692,2796,2512,673,353.0,23.0,380,99,1151,220,201.0,19.0,25,0,0,3,0,620,0,9,0,13,22,25,60,26.0,saboch01,17721,11.4
113,17724,Rick Schu,1980,11919,501,1532,1385,342,118.0,5.0,169,35,532,127,122.0,5.0,9,0,0,35,6,384,3,0,0,0,0,18,17,16.0,schuri01,17724,1.2999999999999998
114,17762,Carney Lansford,1970,3957,278,1212,1107,321,131.0,11.0,177,27,469,70,66.0,4.0,7,0,0,0,0,274,2,0,0,0,0,1,40,17.0,lansfca01,17762,6.4
115,17762,Carney Lansford,1980,19845,1310,5552,5032,1486,617.0,54.0,707,114,2124,395,358.0,37.0,44,0,0,101,2,1197,1,0,0,0,0,40,161,71.0,lansfca01,17762,30.799999999999997
116,17762,Carney Lansford,1990,5973,274,1141,1019,267,126.0,12.0,123,10,346,88,84.0,4.0,13,0,0,23,0,249,1,0,0,0,0,8,23,16.0,lansfca01,17762,3.3000000000000003
117,17768,Tim Naehring,1990,15948,547,2162,1872,527,250.0,12.0,254,49,786,236,225.0,11.0,16,0,0,8,90,345,78,1,0,0,1,23,5,7.0,naehrti01,17768,12.7
118,17770,Bill Pecota,1990,9960,465,1225,1081,277,112.0,3.0,152,15,390,117,107.0,10.0,4,2,0,13,127,215,69,6,0,4,10,2,35,16.0,pecotbi01,17770,6.4
119,17804,Jeff Hamilton,1980,7950,368,1150,1087,258,109.0,10.0,106,23,390,39,30.0,9.0,8,1,0,1,1,349,6,0,0,0,0,0,0,3.0,hamilje01,17804,0.09999999999999995
120,17824,Mike Pagliarulo,1980,11919,753,2703,2422,550,351.0,17.0,303,108,1016,241,205.0,36.0,15,0,0,1,0,733,2,0,0,0,0,1,9,5.0,paglimi01,17824,4.700000000000001
121,17824,Mike Pagliarulo,1990,9961,493,1614,1479,392,154.0,11.0,159,26,570,102,92.0,10.0,14,0,0,15,1,446,0,0,0,0,0,1,9,11.0,paglimi01,17824,5.800000000000001
122,17830,Kevin Seitzer,1980,7950,498,2199,1893,576,202.0,11.0,289,26,772,273,262.0,11.0,14,0,0,49,0,450,6,11,1,0,12,2,39,23.0,seitzke01,17830,13.200000000000001
123,17830,Kevin Seitzer,1990,15948,941,3863,3385,981,411.0,30.0,450,48,1362,396,376.0,20.0,21,1,0,192,15,601,1,3,0,1,4,123,41,26.0,seitzke01,17830,15.599999999999998
124,17878,Denny Walling,1980,19845,949,2611,2337,646,284.0,20.0,310,42,932,248,224.0,24.0,1,0,0,258,0,362,0,47,15,87,149,0,32,13.0,wallide01,17878,11.499999999999998
125,17889,George Brett,1970,13832,885,3815,3495,1082,461.0,28.0,532,74,1661,261,219.0,42.0,6,0,0,8,0,873,8,0,0,0,0,3,96,55.0,brettge01,17889,36.1
126,17889,George Brett,1980,19845,1252,5381,4653,1446,851.0,63.0,768,193,2422,647,499.0,148.0,18,0,0,326,0,815,3,20,0,7,27,79,79,29.0,brettge01,17889,47.70000000000001
127,18004,Chris Brown,1980,11919,449,1690,1523,410,184.0,10.0,164,38,597,120,108.0,12.0,30,0,0,0,0,423,3,0,0,0,0,0,21,17.0,brownch02,18004,6.1
128,18059,Hubie Brooks,1980,19845,1198,4883,4514,1244,609.0,45.0,487,103,1835,285,245.0,40.0,27,0,0,0,7,516,371,1,0,291,292,0,55,46.0,brookhu01,18059,13.7
129,18060,Steve Buechele,1980,9935,668,2258,2032,486,242.0,9.0,249,69,803,178,166.0,12.0,18,0,0,0,72,627,1,3,0,0,3,1,13,19.0,buechst01,18060,7.6
130,18060,Steve Buechele,1990,11955,666,2532,2234,560,305.0,14.0,252,68,879,230,211.0,19.0,25,0,0,12,20,642,4,0,0,0,0,0,4,9.0,buechst01,18060,9.0
131,18112,Tim Wallach,1980,19845,1305,5257,4789,1259,675.0,44.0,555,161,2062,372,314.0,58.0,47,2,0,18,1,1229,1,4,0,36,40,0,40,46.0,wallati01,18112,32.3
132,18112,Tim Wallach,1990,13951,907,3651,3310,826,450.0,33.0,353,99,1307,277,246.0,31.0,30,0,0,76,0,825,0,0,0,0,0,8,11,20.0,wallati01,18112,6.3999999999999995
133,18188,Brook Jacoby,1980,15883,914,3623,3257,888,390.0,30.0,400,98,1372,321,306.0,15.0,10,0,0,7,1,889,1,0,0,0,0,7,13,17.0,jacobbr01,18188,11.900000000000002
134,18188,Brook Jacoby,1990,5973,397,1404,1263,332,155.0,12.0,135,22,460,118,107.0,11.0,6,0,0,146,0,277,0,0,0,0,0,0,3,8.0,jacobbr01,18188,3.1000000000000005
135,18190,Howard Johnson,1980,15884,869,3224,2805,724,422.0,23.0,427,136,1287,374,303.0,71.0,13,0,0,1,0,734,171,8,2,5,15,14,127,40.0,johnsho01,18190,18.7
136,18190,Howard Johnson,1990,11955,662,2491,2135,505,338.0,34.0,333,92,917,318,284.0,34.0,4,0,0,4,8,297,102,91,84,31,206,0,104,37.0,johnsho01,18190,3.4999999999999996
137,18317,Bobby Adams,1950,19545,912,3331,2952,799,213.0,5.0,452,28,1089,320,71.0,1.0,9,0,0,12,129,630,0,0,0,1,1,0,32,30.0,adamsbo03,18317,9.9
138,18332,Sparky Adams,1930,9660,543,2363,2151,608,144.0,0.0,315,2,771,166,0.0,0.0,9,0,0,0,54,445,26,0,0,0,0,0,28,0.0,adamssp01,18332,3.4
139,18397,Dick Allen,1960,13762,866,3690,3221,966,544.0,25.0,591,177,1784,422,347.0,75.0,7,0,0,117,1,545,3,193,1,0,194,0,64,27.0,allendi01,18397,35.2
